,hierarchy_level,job_field,job_since,years_at_job,company2,hierarchy_level2,job_field2,school,approx_work_xp
30,Head,Marketing,juin 2019 ,3,other company,Senior,Consultant,GEM,11
31,Employee, ,janv. 2022 ,0,Criteo,Partner,Finance,ISC,7
32,Senior,Product,janv. 2021 ,1,Criteo,Manager,Product,SUPELEC,7
33,Employee,Board/CEO,juin 2017 ,5,other company,Director,Business,universität st.gallen (hsg),30
34,Manager,Product,sept. 2019 ,3,other company,Senior,Consultant,neoma business school,10
35,Employee, ,sept. 2021 ,1,Criteo,Intern,HR,ciffop,0
36,Director,R&D,oct. 2021 ,1,Criteo,Senior,R&D,ciffop,12
37,Employee,HR,oct. 2021 ,1,other company,Employee,HR,KEDGE,3
38,Manager,Product,mai 2017 ,5,Criteo,Employee,Business,HEC,8
39,Lead, ,janv. 2022 ,0,Criteo,Head,Business,ESCP,7
40,Manager,Business,févr. 2020 ,2,other company,Director,Business,esg management school,8
41,Chief,HR,janv. 2022 ,0,Criteo,Director,Business,london school of business and finance,11
42,CEO,Board/CEO,sept. 2019 ,3,Criteo,Head,Business,ESSEC,9
43,Lead,Product,sept. 2021 ,1,Criteo,Lead,HR,esgrh (anciennement irh),-1
44,Lead,Business,sept. 2021 ,1,Criteo,Manager,Business,esc rennes - msc in ecommerce & international digital marketing,9
45,Senior,Business,oct. 2020 ,2,other company,Manager,Business,iseg paris,12
46,Employee,IT/Data,avr. 2020 ,2,other company,Employee,IT,insa lyon - institut national des sciences appliquées de lyon,3
47,Head,Business,avr. 2021 ,1,Criteo,Chief,HR,Université Paris Dauphine,11
48,Manager,Product,sept. 2019 ,3,other company,Senior,Consultant,Mines,6
49,Senior,Business,juin 2020 ,2,Criteo,Manager,Product,sciences po,6
50,Director,Business,avr. 2020 ,2,Criteo,Senior,Business,SKEMA,15
51,Senior,Business,avr. 2021 ,1,Criteo,Manager,Business,inseec,9
52,Director,Business,avr. 2021 ,1,Criteo,Senior,Product,SUPELEC,8
53,Director, ,sept. 2021 ,1,Criteo,Director,Business,ESSEC,6
54,Senior,IT/Data,mars 2021 ,1,Criteo,Employee,IT/Data,GEM,6
55,Employee,HR,déc. 2021 ,1,other company,Employee,HR,groupe igs formation continue,4
56,Manager,Business,mars 2020 ,2,other company,Director,Business,emlv - école de management léonard de vinci,9
57,Lead,R&D,févr. 2018 ,4,other company,Senior,IT/Data,ehess - ecole des hautes etudes en sciences sociales,6
58,Employee,R&D,mai 2020 ,2,other company,Employee,other,the university of glasgow,11
59,Partner,Business,déc. 2020 ,2,Criteo,Manager,Product,massachusetts institute of technology,4
60,Intern,Marketing,janv. 2020 ,2,Criteo,Employee,R&D,SKEMA,8
61,Employee,Business,oct. 2018 ,4,other company,Manager,Business,ISC,20
62,Chief,IT/Data,juil. 2019 ,3,Criteo,Vice,R&D,dublin city university,8
63,Employee,R&D,oct. 2019 ,3,other company,Employee,HR,université pierre et marie curie,5
64,Manager,IT/Data,juil. 2020 ,2,Criteo,Employee,IT,ib formation,11
65,Head,Account Strategist,avr. 2021 ,1,Criteo,Head,Account Strategist,icd groupe igs,13
66,Director,Business,août 2018 ,4,other company,Partner,other,neoma business school,-1
67,Lead,Finance,juin 2018 ,4,other company,Employee,Consultant,ESSEC,8
68,Employee,IT/Data,déc. 2017 ,5,other company,Employee,HR,université aix marseille,10
69,CEO,Board/CEO,janv. 2021 ,1,Criteo,Employee,IT/Data,université d'evry-val d'essonne,7
70,Employee,IT/Data,janv. 2019 ,3,other company,Employee,Product,"ionis-stm, école de double compétence",4
71,Vice,Board/CEO,févr. 2021 ,1,Criteo,Head,R&D,sciences po,22
72,Employee,R&D,mars 2020 ,2,other company,Intern,IT/Data,école polytechnique,3
73,Lead,HR,oct. 2021 ,1,Criteo,Senior,HR,ecole de management strasbourg,10
74,Lead,HR,sept. 2020 ,2,Criteo,Senior,IT/Data,dnipropetrovsk national university,11
75,Employee,R&D,sept. 2019 ,3,Criteo,Intern,R&D,école des ponts paristech,-1
76,Employee, ,mai 2019 ,3,other company,Employee,Marketing,des enjeux et des hommes,1
77,Employee,Account Strategist,oct. 2021 ,1,other company,Employee,Account Strategist,neoma business school,2
78,Employee,Business,mars 2021 ,1,other company,Employee,HR,neoma business school,3
79,Employee,Marketing,juil. 2019 ,3,Criteo,Employee,R&D,GEM,4
80,Senior,R&D,nov. 2021 ,1,other company,Intern,HR,university of south australia,-1
81,Manager, ,avr. 2020 ,2,Criteo,Senior,Account Strategist,ESSEC,7
82,Stagiaire,Finance,juil. 2021 ,1,other company,Stagiaire,Finance,ESCP,1
83,Employee,Business,mars 2020 ,2,other company,Manager,Business,école multimédia,7
84,Chief,Marketing,sept. 2021 ,1,other company,Employee,Marketing,ESSEC,25
85,Employee,Finance,mai 2021 ,1,other company,Employee,Business,Université Paris Panthéon-sorbonne,5
86,Partner,Business,févr. 2018 ,4,Criteo,Partner,Business,enc bessières,20
87,Head,Business,janv. 2020 ,2,Criteo,Head,Business,unknown,-1
88,Employee,HR,juil. 2019 ,3,Criteo,Employee,Product,université de picardie jules verne (amiens),14
89,Manager,R&D,nov. 2020 ,2,Criteo,Lead,Product,ESSEC,7
90,VP, ,nov. 2021 ,1,other company,Employee,Board/CEO,duke university school of law,25
91,Manager,IT/Data,oct. 2019 ,3,other company,Manager,Product,université pierre et marie curie (paris vi),19
92,Employee,Product,oct. 2018 ,4,other company,Employee,Product,PSB,5
93,Manager,Product,mars 2019 ,3,other company,Manager,Business,ucd michael smurfit graduate school of business,6
94,Senior,IT/Data,avr. 2021 ,1,Criteo,Employee,IT/Data,télécom sudparis,4
95,Manager,IT/Data,juin 2020 ,2,Criteo,Manager,IT/Data,GEM,11
96,Manager,Business,oct. 2021 ,1,other company,Senior,Consultant,lund university school of economics and management,7
97,Employee,Account Strategist,juil. 2017 ,5,other company,Senior,Consultant,SKEMA,5
98,Manager,Business,mars 2021 ,1,other company,Employee,Business,neoma business school,3
99,Employee,Account Strategist,oct. 2021 ,1,other company,Senior,IT,ISC,5
100,Manager,Business,janv. 2021 ,1,Criteo,Employee,Business,HEC,8
101,Manager,Marketing,mars 2020 ,2,other company,Employee,Consultant,institut des sciences et techniques des yvelines,11
102,Lead,Account Strategist,avr. 2021 ,1,Criteo,Partner,Business,institut d'etudes politiques de paris (sciences po),11
