,company,hierarchy_level,job_since,years_at_job,company2,hierarchy_level2,school,job2_start,job2_end2,job2_duration,approx_work_xp,job_field_Account Strategist,job_field_Board/CEO,job_field_Business,job_field_Consultant,job_field_Finance,job_field_HR,job_field_IT,job_field_IT/Data,job_field_Marketing,job_field_Operations,job_field_Product,job_field_Quality,job_field_R&D,job_field_other,job_field2_Account Strategist,job_field2_Board/CEO,job_field2_Business,job_field2_Consultant,job_field2_Finance,job_field2_HR,job_field2_IT,job_field2_IT/Data,job_field2_Marketing,job_field2_Product,job_field2_R&D,job_field2_other
46,1,3,2022,0,1,1,3,2020,2022,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,1,8,2018,4,1,1,0,2017,2022,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,1,3,2021,1,1,4,0,2021,2022,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,1,1,2019,3,1,1,0,2018,2022,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,1,8,2021,1,1,8,0,2020,2022,2,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,1,12,2020,2,1,1,3,2019,2022,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,1,1,2021,1,1,1,0,2020,2022,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1,4,2017,5,1,1,0,2013,2022,9,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,1,12,2021,1,1,9,3,2019,2022,3,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,1,12,2020,2,1,5,3,2019,2022,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,1,8,2021,1,1,6,0,2021,2022,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,1,4,2020,2,1,2,0,2019,2022,3,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,1,4,2021,1,1,1,2,2021,2022,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,1,8,2019,3,1,1,0,2018,2022,4,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,1,12,2019,3,1,1,2,2018,2022,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,1,2,2021,1,1,4,2,2020,2022,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,0,5,2018,4,0,1,0,-1,-1,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,1,6,2020,2,1,6,0,2018,2022,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,1,8,2021,1,1,8,0,2017,2022,5,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,1,2,2021,1,1,3,0,2019,2022,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,1,1,2020,2,1,12,2,2018,2022,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,1,2,2018,4,1,1,0,2017,2022,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,1,9,2021,1,1,9,0,2020,2022,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,1,8,2020,2,1,6,0,2016,2022,6,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,0,1,2018,4,0,1,0,2017,2022,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,0,1,2015,7,0,1,0,2013,2022,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,1,6,2021,1,1,3,0,2020,2022,2,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,1,1,2020,2,1,2,0,2019,2022,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
74,1,8,2020,2,1,13,0,2019,2022,3,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,1,2,2021,1,1,2,0,2016,2022,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,1,5,2021,1,1,1,0,2021,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,1,12,2018,4,1,6,0,2013,2018,5,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,1,3,2021,1,1,1,0,2018,2021,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,1,1,2020,2,1,2,2,2018,2020,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,1,5,2019,3,1,1,0,2019,2019,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,1,5,2021,1,1,2,2,2019,2022,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,1,12,2021,1,1,1,0,2019,2021,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,1,5,2020,2,1,2,0,2019,2019,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,1,1,2019,3,1,1,0,2018,2019,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
