,company,hierarchy_level,job_field,job_since,years_at_job,company2,hierarchy_level2,job_field2,school,job2_start,job2_end2,job2_duration,approx_work_xp
104,other,CXO,IT/Data,2020,2,other,Senior,R&D,université de bordeaux,2017,2022,5,15
105,Criteo,Employee,IT/Data,2018,4,other,Employee,IT/Data,freie universität berlin,2014,2022,8,7
106,Criteo,Employee,Consultant,2021,1,Criteo,Senior,IT/Data,INSEAD,2021,2021,0,0
107,other,VP,Business,2021,1,other,Employee,other,le wagon,2019,2022,3,3
108,other,Employee,IT/Data,2017,5,other,Employee,IT/Data,école supérieure d'électricité,2015,2017,2,9
109,other,Employee,Marketing,2020,2,other,Senior,Marketing,ecole centrale de marseille,2019,2020,1,8
110,other,Senior,R&D,2019,3,other,Employee,other,université paris-saclay,2019,2022,3,7
111,other,Employee,other,2021,1,other,Employee,IT/Data,université savoie mont blanc,2021,2022,1,11
112,other,Employee,IT/Data,2019,3,Criteo,Employee,IT/Data,Mines,2018,2022,4,5
113,other,Director,Product,2021,1,other,Lead,IT,SUPELEC,2019,2022,3,8
114,other,Employee,IT/Data,2020,2,other,Employee,Business,GEM,2019,2022,3,3
115,other,Senior,IT/Data,2016,6,Criteo,Employee,IT/Data,SUPELEC,2011,2022,11,11
116,other,Senior,Product,2021,1,Criteo,Senior,Product,institut ingemedia,2017,2022,5,-1
117,other,Senior,IT/Data,2021,1,other,Employee,IT/Data,télécom paris,2019,2022,3,7
118,other,Employee,IT/Data,2022,0,Criteo,Employee,IT/Data,institut national des sciences appliquées de toulouse,2020,2022,2,9
119,other,Senior,Business,2018,4,Criteo,Manager,Business,gemma vassalo,2016,2022,6,3
120,other,Employee,Finance,2020,2,Criteo,Lead,IT,Université Paris Panthéon-sorbonne,2019,2022,3,16
121,other,Employee,IT/Data,2019,3,other,Lead,IT,new york university,2018,2022,4,10
122,other,Manager,Product,2021,1,other,Manager,Product,ESCP,2020,2022,2,3
123,other,Senior,Product,2017,5,other,Senior,Product,télécom paris,2016,2022,6,13
124,other,Employee,IT/Data,2021,1,Criteo,Employee,IT/Data,петрозаводский государственный университет (петргу),2019,2022,3,7
125,other,Employee,IT,2016,6,Criteo,Manager,Product,EPITA,2015,2022,7,15
126,other,Manager,Finance,2021,1,other,Employee,IT/Data,EMLYON,2020,2022,2,6
127,other,Employee,IT/Data,2016,6,other,Employee,Consultant,école polytechnique,2015,2022,7,7
128,other,Employee,IT/Data,2019,3,other,Lead,IT,university of zagreb/sveuciliste u zagrebu,2018,2022,4,10
129,other,Head,Product,2020,2,Criteo,Head,Business,Université Paris Panthéon-sorbonne,2019,2022,3,12
130,other,Employee,IT/Data,2020,2,other,Employee,IT/Data,université paris-sud,2018,2022,4,11
131,other,Employee,IT/Data,2020,2,other,Employee,IT/Data,ecole nationale supérieure de l'electronique et de ses applications,2018,2022,4,19
132,other,Employee,Business,2019,3,other,Employee,Business,SUPELEC,2017,2022,5,10
133,other,Employee,Operations,2021,1,other,Employee,IT/Data,HEC,2020,2022,2,5
134,other,Founder,Business,2021,1,Criteo,Employee,IT/Data,HEC,2021,2022,1,-1
135,other,Lead,HR,2021,1,other,Employee,other,unknown,2020,2022,2,-1
136,other,Lead,IT/Data,2021,1,other,Employee,Consultant,KEDGE,2019,2022,3,4
137,Criteo,Manager,Business,2014,8,other,Director,Business,unknown,2012,2022,10,-1
138,other,Employee,IT/Data,2021,1,other,Employee,HR,omnes education,2020,2022,2,4
139,other,Lead,IT/Data,2020,2,other,Lead,IT,institut catholique de paris,2020,2022,2,10
140,Criteo,Employee,Business,2019,3,other,Employee,Business,SKEMA,2018,2022,4,4
141,other,Director,Marketing,2021,1,other,Director,Marketing,celsa - ecole des hautes études en sciences de l'information et de la communication,2019,2022,3,13
142,other,Employee,Business,2021,1,other,Manager,HR,igs,2021,2022,1,10
143,other,Senior,HR,2020,2,other,Employee,other,ciffop,2019,2022,3,9
144,other,Head,Account Strategist,2020,2,other,Manager,Business,esce international business school,2018,2022,4,12
145,other,Employee,other,2016,6,other,CXO,HR,conservatoire national des arts et métiers,2016,2022,6,24
146,other,Manager,Marketing,2021,1,other,Manager,Marketing,KEDGE,2020,2022,2,6
147,other,Senior,IT/Data,2022,0,other,Senior,IT/Data,em normandie business school,2021,2022,1,8
148,other,Head,Product,2021,1,other,Head,other,università degli studi di firenze,2020,2021,1,19
